filename,width,height,class,xmin,ymin,xmax,ymax
819-Lihim_PNG.rf.13ca98380ec5fc3e095ec0d745fa6019.jpg,267,122,1,1,20,81,111
819-Lihim_PNG.rf.13ca98380ec5fc3e095ec0d745fa6019.jpg,267,122,2,80,44,172,78
819-Lihim_PNG.rf.13ca98380ec5fc3e095ec0d745fa6019.jpg,267,122,3,181,17,264,87
819-Lihim_PNG.rf.13ca98380ec5fc3e095ec0d745fa6019.jpg,267,122,1.1,26,11,39,26
819-Lihim_PNG.rf.13ca98380ec5fc3e095ec0d745fa6019.jpg,267,122,2.1,115,25,128,39
819-Lihim_PNG.rf.13ca98380ec5fc3e095ec0d745fa6019.jpg,267,122,3.3,195,99,217,120
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,1,6,4,56,48
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,2,60,7,107,52
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,3,115,13,163,47
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,4,168,7,217,50
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,5,225,10,271,48
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,3.1,135,0,143,8
813-Kaibigan_PNG.rf.a3c057bf087208cbd20ceacbdab5c872.jpg,273,63,5.3,239,49,255,63
997-Pabango_PNG.rf.2640baeb399e0c5e5853acb213b1b188.jpg,259,86,1,9,14,82,67
997-Pabango_PNG.rf.2640baeb399e0c5e5853acb213b1b188.jpg,259,86,2,88,14,161,67
997-Pabango_PNG.rf.2640baeb399e0c5e5853acb213b1b188.jpg,259,86,3,165,14,239,67
997-Pabango_PNG.rf.2640baeb399e0c5e5853acb213b1b188.jpg,259,86,3.2,194,68,213,79
860-Landi_PNG.rf.c68dbe1f19e13fdb7cee7cbced23933d.jpg,245,87,1,4,13,78,68
860-Landi_PNG.rf.c68dbe1f19e13fdb7cee7cbced23933d.jpg,245,87,2,82,14,155,67
860-Landi_PNG.rf.c68dbe1f19e13fdb7cee7cbced23933d.jpg,245,87,3,161,14,234,67
860-Landi_PNG.rf.c68dbe1f19e13fdb7cee7cbced23933d.jpg,245,87,2.3,109,66,131,82
860-Landi_PNG.rf.c68dbe1f19e13fdb7cee7cbced23933d.jpg,245,87,3.1,188,2,209,14
825-Tanggol_PNG.rf.11408e4ebf568e5464a28f0206cad831.jpg,315,113,1,3,7,71,67
825-Tanggol_PNG.rf.11408e4ebf568e5464a28f0206cad831.jpg,315,113,2,79,1,183,72
