filename,width,height,class,xmin,ymin,xmax,ymax
556-Tuwing_PNG.rf.520372117c0f2f45202248664df34c86.jpg,382,111,ᜆᜓ,8,23,110,109
556-Tuwing_PNG.rf.520372117c0f2f45202248664df34c86.jpg,382,111,ᜏᜒ,144,0,227,94
556-Tuwing_PNG.rf.520372117c0f2f45202248664df34c86.jpg,382,111,ᜅ᜔,268,8,381,109
166-Sumuko_PNG.rf.65f6a6a7df183d0816f21a44edd61bc9.jpg,299,103,ᜐᜓ,9,11,85,100
166-Sumuko_PNG.rf.65f6a6a7df183d0816f21a44edd61bc9.jpg,299,103,ᜋᜓ,103,15,201,97
166-Sumuko_PNG.rf.65f6a6a7df183d0816f21a44edd61bc9.jpg,299,103,ᜃᜓ,205,20,298,102
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜁ,3,16,81,84
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜈᜒ,86,9,162,88
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜑ,165,48,241,84
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜑ,244,47,324,83
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜇᜓ,407,17,482,100
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜈ᜔,324,20,403,106
644-Inihahandog_PNG.rf.40429ef7c095b625cea15b2928075365.jpg,568,111,ᜄ᜔,486,20,561,104
653-Upo_PNG.rf.37c6fbe7740f584d87dd30d51573f3dd.jpg,89,49,ᜂ,1,4,25,48
653-Upo_PNG.rf.37c6fbe7740f584d87dd30d51573f3dd.jpg,89,49,ᜉᜓ,36,3,86,45
223-Bayan_PNG.rf.3265818ab11f672b6c63aadfeeb455a4.jpg,188,72,ᜊ,1,7,51,47
223-Bayan_PNG.rf.3265818ab11f672b6c63aadfeeb455a4.jpg,188,72,ᜌ,57,6,123,45
223-Bayan_PNG.rf.3265818ab11f672b6c63aadfeeb455a4.jpg,188,72,ᜈ᜔,125,6,180,72
660-Patunayan_PNG.rf.09eea45b24c9f46df6fc0091ddf1152f.jpg,382,126,ᜉ,2,6,88,49
660-Patunayan_PNG.rf.09eea45b24c9f46df6fc0091ddf1152f.jpg,382,126,ᜆᜓ,92,16,165,85
660-Patunayan_PNG.rf.09eea45b24c9f46df6fc0091ddf1152f.jpg,382,126,ᜈ,177,15,225,66
660-Patunayan_PNG.rf.09eea45b24c9f46df6fc0091ddf1152f.jpg,382,126,ᜌ,242,17,320,71
660-Patunayan_PNG.rf.09eea45b24c9f46df6fc0091ddf1152f.jpg,382,126,ᜈ᜔,323,26,374,120
401-Salamat_PNG.rf.3014a4693e4d0a83cafb8a0b6873034c.jpg,530,148,ᜐ,3,8,84,84
401-Salamat_PNG.rf.3014a4693e4d0a83cafb8a0b6873034c.jpg,530,148,ᜎ,159,6,233,88
401-Salamat_PNG.rf.3014a4693e4d0a83cafb8a0b6873034c.jpg,530,148,ᜋ,295,11,398,88
401-Salamat_PNG.rf.3014a4693e4d0a83cafb8a0b6873034c.jpg,530,148,ᜆ᜔,445,33,528,143
477-Katiwala_PNG.rf.ca77afbd616aad05c5a7868cb914e0c6.jpg,212,56,ᜃ,4,13,57,50
