=== train list (327970 chars, 20 unique) ===
᜔	58200
ᜒ	33491
ᜓ	29420
ᜈ	22517
ᜎ	18727
ᜋ	17766
ᜆ	17459
ᜉ	16837
ᜇ	16596
ᜐ	16264
ᜃ	16118
ᜄ	15690
ᜊ	11427
ᜌ	8057
ᜑ	7330
ᜅ	7080
ᜁ	4335
ᜀ	4128
ᜏ	4062
ᜂ	2466

=== eval list (26609 chars, 20 unique) ===
᜔	4364
ᜒ	3013
ᜓ	2771
ᜈ	1596
ᜎ	1379
ᜋ	1340
ᜉ	1280
ᜄ	1280
ᜆ	1262
ᜃ	1231
ᜐ	1230
ᜇ	1198
ᜊ	1021
ᜅ	753
ᜑ	717
ᜌ	684
ᜏ	592
ᜁ	324
ᜀ	310
ᜂ	264

=== test list (20664 chars, 20 unique) ===
᜔	3491
ᜒ	2299
ᜓ	1814
ᜈ	1352
ᜎ	1176
ᜋ	1086
ᜆ	1065
ᜉ	1057
ᜇ	1049
ᜃ	1031
ᜐ	1003
ᜄ	961
ᜊ	741
ᜑ	514
ᜅ	504
ᜌ	495
ᜏ	298
ᜁ	287
ᜀ	264
ᜂ	177
