truth\pred,A,E/I,GA,Virama,BA,Kudlit E/I,Kudlit O/U,HA,KA,LA,NA,MA,NGA,O/U,PA,SA,TA,DA/RA,WA,YA,Deletion
A,233,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E/I,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GA,0,1,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Virama,0,0,0,3072,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BA,1,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kudlit E/I,0,0,0,0,0,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Kudlit O/U,0,0,0,13,0,2,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,7
HA,1,1,0,0,0,1,0,441,0,0,0,0,0,0,1,0,3,0,0,0,0
KA,0,0,1,0,0,0,0,0,909,0,0,0,0,0,1,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,1,0,0,0,0
NA,0,0,0,0,0,0,1,0,0,2,1157,0,8,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,0,0,923,0,0,1,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0,0,7,0,450,0,0,0,2,0,0,0,0
O/U,0,0,0,1,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,909,0,0,0,0,0,0
SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0
TA,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,898,1,0,0,0
DA/RA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,890,0,0,0
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,262,0,0
YA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,432,0
Insertion,0,4,1,8,0,4,8,0,2,0,2,1,2,3,2,1,0,0,0,1,
