truth\pred,A,E/I,GA,Virama,BA,Kudlit E/I,Kudlit O/U,HA,KA,LA,NA,MA,NGA,O/U,PA,SA,TA,DA/RA,WA,YA,Deletion
A,99.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%
E/I,0.00%,99.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%
GA,0.00%,0.12%,99.64%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%
Virama,0.00%,0.00%,0.00%,98.91%,0.00%,0.00%,0.97%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%
BA,0.16%,0.00%,0.00%,0.00%,99.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Kudlit E/I,0.00%,0.00%,0.00%,0.00%,0.00%,99.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.55%
Kudlit O/U,0.00%,0.00%,0.00%,0.83%,0.00%,0.13%,98.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%
HA,0.22%,0.22%,0.00%,0.00%,0.00%,0.22%,0.00%,98.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%
KA,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,99.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%
NA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.17%,99.06%,0.00%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
MA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.89%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NGA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.53%,0.00%,98.04%,0.00%,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%
O/U,0.00%,0.00%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,99.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.11%,0.00%,0.11%,0.11%,0.00%,0.00%,0.00%,99.45%,0.11%,0.00%,0.00%,0.00%
DA/RA,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,99.66%,0.00%,0.00%,0.00%
WA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.00%,0.00%,0.00%,0.00%,99.62%,0.00%,0.00%
YA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%,99.31%,0.00%
Insertion,0.00%,10.26%,2.56%,20.51%,0.00%,10.26%,20.51%,0.00%,5.13%,0.00%,5.13%,2.56%,5.13%,7.69%,5.13%,2.56%,0.00%,0.00%,0.00%,2.56%,100%
