truth\pred,ᜀ,ᜊ,ᜃ,ᜇ,ᜁ,ᜄ,ᜑ,ᜎ,ᜋ,ᜈ,ᜅ,ᜂ,ᜉ,ᜐ,ᜆ,ᜏ,ᜌ,ᜒ,ᜓ,᜔,<DEL>
ᜀ,1262,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ᜊ,0,3551,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0
ᜃ,0,1,4883,2,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ᜇ,0,3,1,4894,0,0,1,0,2,0,0,0,1,0,3,0,0,0,0,1,1
ᜁ,0,0,1,0,1359,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ᜄ,0,0,0,0,0,4863,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
ᜑ,0,0,0,1,0,0,2217,0,0,0,1,0,1,1,1,1,0,1,0,0,0
ᜎ,0,0,0,0,0,0,0,5628,0,2,0,0,2,2,1,0,0,0,0,1,0
ᜋ,2,0,0,0,0,0,0,1,5277,0,1,0,0,0,0,0,0,0,0,0,0
ᜈ,0,0,0,0,0,0,0,2,0,6720,4,0,0,0,0,0,0,0,0,0,0
ᜅ,0,0,3,0,0,0,0,0,0,48,2146,0,1,0,0,0,0,0,0,0,1
ᜂ,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0
ᜉ,1,0,0,0,0,0,5,1,0,1,0,0,4897,1,2,0,3,0,0,0,0
ᜐ,0,1,0,0,0,2,0,0,0,2,0,0,1,4891,0,0,0,0,0,0,1
ᜆ,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5226,0,0,0,0,0,0
ᜏ,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1276,0,0,0,0,1
ᜌ,1,0,0,0,0,0,1,0,1,0,2,0,5,2,2,1,2407,0,0,0,1
ᜒ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9999,4,0,22
ᜓ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,8791,57,23
᜔,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,61,17980,16
<INS>,4,4,1,5,0,5,5,1,0,11,3,0,1,6,2,3,3,23,23,13,
