truth\pred,ᜀ,ᜁ,ᜄ,᜔,ᜊ,ᜒ,ᜓ,ᜑ,ᜃ,ᜎ,ᜈ,ᜋ,ᜅ,ᜂ,ᜉ,ᜐ,ᜆ,ᜇ,ᜏ,ᜌ,<DEL>
ᜀ,536,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ᜁ,0,646,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
ᜄ,0,0,2168,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0
᜔,0,0,0,8303,1,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,9
ᜊ,0,0,0,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ᜒ,0,1,0,0,0,4655,2,0,0,0,0,0,0,3,0,0,0,0,0,0,30
ᜓ,0,1,0,95,0,3,4171,0,0,0,0,1,0,0,0,0,0,0,0,0,22
ᜑ,0,0,0,0,0,0,1,1056,0,2,0,0,0,0,3,0,2,0,0,2,1
ᜃ,0,1,0,0,0,0,0,0,2269,3,1,0,1,0,0,0,0,0,0,0,0
ᜎ,0,0,0,0,0,0,1,0,1,2577,0,0,0,0,0,1,2,0,0,0,0
ᜈ,0,0,0,0,0,0,0,2,0,2,3009,0,0,0,0,0,0,0,0,0,0
ᜋ,0,0,0,0,0,0,0,0,0,0,0,2435,2,0,1,0,0,0,0,0,0
ᜅ,0,0,0,0,0,0,0,0,0,24,34,0,955,0,0,0,0,0,0,0,0
ᜂ,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,1,0,2
ᜉ,1,0,0,0,0,0,0,3,0,0,0,4,1,0,2326,6,1,0,6,12,2
ᜐ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2172,0,0,3,0,3
ᜆ,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,2420,0,0,0,2
ᜇ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2261,3,0,0
ᜏ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,615,5,0
ᜌ,3,0,0,0,0,0,1,3,0,0,0,1,0,0,11,1,0,0,6,1068,0
<INS>,1,0,0,9,2,8,10,3,1,1,1,2,2,1,2,0,2,2,2,5,
